roomId,roomType,districtId,preferredGender,allowSmoking,allowPets,cleanlinessRequired,noiseTolerance,guestPolicy,preferredSleepHabit,preferredOccupation,curfewPolicy,maxOccupants,minimumBudget
R00753,private_room,CG,female,allowed,not_allowed,medium,medium,rarely,late,student,none,1,3577310
R00754,shared_room,TB,any,not_allowed,not_allowed,medium,medium,rarely,normal,student,before_midnight,4,980034
R00755,shared_room,BC,female,not_allowed,not_allowed,medium,low,rarely,late,any,before_11pm,3,541029
R00756,private_room,BTL,female,allowed,allowed,high,low,rarely,normal,office_worker,none,1,2691407
R00757,private_room,BD,female,not_allowed,cats_only,medium,low,frequently,late,student,before_11pm,1,6552463
R00758,shared_room,HK,male,not_allowed,small_pets_only,high,low,occasionally,early,student,before_midnight,3,3104888
R00759,private_room,SS,male,not_allowed,small_pets_only,high,low,occasionally,very_late,student,before_11pm,1,2162392
R00760,shared_room,HL,male,not_allowed,not_allowed,medium,low,occasionally,late,office_worker,none,3,1507106
R00761,private_room,Q4,male,not_allowed,allowed,high,medium,rarely,early,student,none,1,5996800
R00762,private_room,Q8,male,outside_only,small_pets_only,medium,low,occasionally,normal,student,before_midnight,1,2267417
R00763,private_room,HBT,any,not_allowed,not_allowed,high,high,occasionally,normal,student,before_midnight,1,6604369
R00764,studio,BT,any,allowed,allowed,high,low,occasionally,normal,student,none,1,6264075
R00765,shared_room,HM,female,not_allowed,allowed,medium,medium,occasionally,normal,student,none,4,1156960
R00766,private_room,Q10,male,not_allowed,allowed,medium,high,rarely,early,student,none,1,4665421
R00767,shared_room,BD,any,not_allowed,allowed,medium,medium,rarely,normal,student,none,2,1941289
R00768,private_room,HL,male,not_allowed,not_allowed,high,medium,rarely,late,student,before_midnight,1,2187267
R00769,shared_room,Q1,any,not_allowed,not_allowed,high,low,rarely,normal,student,none,2,2285091
R00770,private_room,LB,female,not_allowed,small_pets_only,medium,medium,rarely,late,any,before_11pm,1,5360395
R00771,private_room,NB,male,allowed,allowed,medium,medium,rarely,normal,student,before_midnight,1,4980342
R00772,private_room,Q8,male,allowed,allowed,medium,low,rarely,normal,student,none,1,4685712
R00773,private_room,HD,female,not_allowed,not_allowed,high,medium,rarely,early,any,none,1,4696373
R00774,shared_room,TTR,any,not_allowed,allowed,high,medium,rarely,normal,student,before_11pm,4,1224243
R00775,private_room,Q6,female,allowed,not_allowed,medium,low,occasionally,early,student,before_11pm,1,2005243
R00776,private_room,Q12,female,not_allowed,not_allowed,low,high,rarely,normal,student,before_midnight,1,4909378
R00777,shared_room,CC,male,not_allowed,not_allowed,high,low,occasionally,early,student,before_11pm,3,706277
R00778,studio,LB,any,allowed,small_pets_only,medium,low,rarely,early,any,before_midnight,2,3993788
R00779,private_room,TTR,male,not_allowed,cats_only,medium,medium,frequently,early,student,none,1,1602055
R00780,shared_room,Q10,any,not_allowed,small_pets_only,high,medium,rarely,normal,student,none,2,1321501
R00781,shared_room,NB,male,not_allowed,not_allowed,high,medium,rarely,normal,student,before_midnight,3,1359461
R00782,shared_room,DA,male,not_allowed,allowed,medium,medium,rarely,early,student,before_11pm,2,1204088
R00783,shared_room,Q10,male,outside_only,not_allowed,high,medium,rarely,normal,office_worker,before_midnight,4,2485734
R00784,private_room,NTL,male,not_allowed,allowed,medium,medium,rarely,normal,student,none,1,4388615
R00785,private_room,TX,female,allowed,not_allowed,high,low,rarely,early,student,none,1,5255851
R00786,shared_room,NTL,female,not_allowed,allowed,high,high,rarely,early,student,before_11pm,4,1846311
R00787,shared_room,TX,male,not_allowed,allowed,high,low,occasionally,late,any,before_11pm,3,1990989
R00788,shared_room,HK,male,not_allowed,allowed,medium,medium,occasionally,normal,student,before_11pm,4,2658156
R00789,shared_room,Q1,female,not_allowed,allowed,high,high,occasionally,early,any,none,2,1903056
R00790,studio,TX,any,allowed,small_pets_only,medium,low,rarely,early,student,before_midnight,2,6593872
R00791,shared_room,DA,male,not_allowed,not_allowed,medium,low,rarely,normal,student,before_midnight,4,848242
R00792,private_room,NB,female,not_allowed,not_allowed,high,medium,occasionally,very_early,student,none,1,3616159
R00793,shared_room,Q4,any,not_allowed,not_allowed,high,low,rarely,normal,student,before_midnight,4,1486783
R00794,studio,BC,any,outside_only,allowed,medium,low,occasionally,very_early,student,before_midnight,1,5619337
R00795,shared_room,PN,female,not_allowed,small_pets_only,high,medium,rarely,early,any,before_midnight,4,2284823
R00796,private_room,BD,male,outside_only,not_allowed,medium,medium,rarely,normal,office_worker,none,1,5479252
R00797,private_room,Q5,male,not_allowed,not_allowed,high,medium,rarely,normal,student,before_11pm,1,6285650
R00798,studio,DA,any,allowed,allowed,medium,medium,occasionally,late,student,before_midnight,2,4115513
R00799,shared_room,Q4,female,not_allowed,allowed,high,low,rarely,normal,office_worker,none,2,1840637
R00800,studio,HBT,any,not_allowed,not_allowed,high,medium,frequently,very_early,student,before_11pm,1,6430020
R00801,shared_room,Q12,male,outside_only,not_allowed,high,low,rarely,normal,student,before_11pm,3,787117
R00802,shared_room,Q10,any,not_allowed,small_pets_only,medium,medium,rarely,normal,office_worker,none,3,1024736
R00803,shared_room,Q8,female,not_allowed,allowed,medium,low,rarely,early,student,before_midnight,3,933396
R00804,shared_room,BTL,female,outside_only,not_allowed,high,medium,rarely,normal,any,none,3,1229763
R00805,shared_room,Q1,any,not_allowed,allowed,high,high,rarely,late,student,before_midnight,3,3146921
R00806,private_room,HL,male,allowed,small_pets_only,medium,medium,rarely,normal,office_worker,before_midnight,1,1881540
R00807,private_room,HL,male,not_allowed,not_allowed,medium,high,occasionally,late,office_worker,before_11pm,1,5664802
R00808,private_room,BD,male,not_allowed,small_pets_only,high,low,rarely,very_early,student,none,1,5790825
R00809,studio,CG,any,allowed,not_allowed,high,medium,frequently,normal,student,before_midnight,1,5104460
R00810,private_room,BTL,male,not_allowed,not_allowed,high,medium,rarely,normal,student,before_midnight,1,6258759
R00811,private_room,Q1,male,allowed,not_allowed,medium,medium,rarely,very_late,office_worker,before_midnight,1,6358174
R00812,shared_room,HL,any,not_allowed,allowed,medium,medium,rarely,early,student,before_midnight,2,1433545
R00813,private_room,HD,female,not_allowed,cats_only,high,low,occasionally,early,student,none,1,3653730
R00814,shared_room,DA,female,not_allowed,not_allowed,medium,low,rarely,normal,student,none,4,768568
R00815,private_room,HD,female,allowed,allowed,low,low,frequently,early,office_worker,none,1,5818197
R00816,private_room,Q10,male,allowed,cats_only,medium,low,rarely,normal,any,before_midnight,1,8702329
R00817,private_room,NTL,male,not_allowed,small_pets_only,medium,low,occasionally,normal,student,none,1,4854229
R00818,studio,Q7,any,allowed,small_pets_only,medium,low,occasionally,normal,student,before_midnight,2,4580619
R00819,shared_room,HK,female,outside_only,allowed,medium,medium,occasionally,very_early,office_worker,none,3,1987932
R00820,studio,SS,any,allowed,allowed,high,low,frequently,late,student,none,1,3198364
R00821,shared_room,DA,male,not_allowed,small_pets_only,high,medium,occasionally,very_early,student,before_midnight,2,958321
R00822,private_room,LB,male,outside_only,not_allowed,medium,low,occasionally,late,student,none,1,4656081
R00823,shared_room,SS,any,not_allowed,allowed,high,high,rarely,normal,student,none,4,460218
R00824,private_room,Q1,female,not_allowed,small_pets_only,high,medium,occasionally,normal,student,none,1,10231672
R00825,private_room,HD,female,not_allowed,not_allowed,high,medium,rarely,early,student,none,1,1548480
R00826,private_room,HBT,female,not_allowed,not_allowed,medium,low,rarely,normal,student,none,1,6115472
R00827,shared_room,DA,male,allowed,allowed,high,low,rarely,very_early,student,before_midnight,2,1137881
R00828,shared_room,BT,female,not_allowed,cats_only,medium,medium,rarely,normal,student,before_11pm,2,1668442
R00829,private_room,TP,female,outside_only,not_allowed,medium,high,rarely,very_early,student,none,1,3290982
R00830,private_room,PN,any,allowed,not_allowed,medium,medium,occasionally,normal,student,none,1,2539109
R00831,private_room,HM,male,outside_only,cats_only,high,low,rarely,normal,student,none,1,3677593
R00832,studio,TD,any,not_allowed,not_allowed,high,low,occasionally,normal,student,none,1,5348357
R00833,studio,GV,any,allowed,not_allowed,high,medium,frequently,very_early,student,none,1,2451372
R00834,private_room,HBT,male,not_allowed,not_allowed,medium,low,occasionally,early,student,none,1,5577750
R00835,studio,GV,any,outside_only,allowed,high,medium,rarely,normal,student,before_midnight,1,6223558
R00836,private_room,GV,female,allowed,not_allowed,medium,medium,rarely,late,student,none,1,3494567
R00837,private_room,BTL,female,not_allowed,allowed,medium,low,frequently,late,student,none,1,4724065
R00838,shared_room,Q11,female,not_allowed,allowed,high,medium,rarely,early,student,before_11pm,2,1285891
R00839,shared_room,Q11,female,not_allowed,not_allowed,high,low,rarely,late,student,none,2,979849
R00840,private_room,NB,any,not_allowed,not_allowed,medium,medium,occasionally,normal,office_worker,before_11pm,1,2521005
R00841,private_room,Q11,female,allowed,not_allowed,medium,low,occasionally,late,student,none,1,3760489
R00842,private_room,Q10,male,not_allowed,allowed,high,high,rarely,late,student,before_midnight,1,3650101
R00843,private_room,Q11,female,not_allowed,cats_only,medium,low,occasionally,early,any,none,1,3988284
R00844,private_room,HK,male,not_allowed,not_allowed,medium,medium,rarely,normal,any,before_midnight,1,4808286
R00845,private_room,HD,male,outside_only,not_allowed,medium,medium,frequently,late,student,none,1,4663463
R00846,shared_room,BTL,male,not_allowed,not_allowed,medium,low,occasionally,normal,student,none,2,1349378
R00847,private_room,TTR,male,allowed,allowed,medium,medium,occasionally,early,any,before_midnight,1,2550310
R00848,shared_room,PN,male,not_allowed,not_allowed,high,low,rarely,normal,any,none,4,2433965
R00849,shared_room,TD,female,not_allowed,not_allowed,medium,medium,occasionally,early,student,none,4,1270768
R00850,shared_room,BC,any,not_allowed,allowed,high,low,occasionally,early,student,before_midnight,2,854503
R00851,shared_room,BTL,any,outside_only,not_allowed,medium,high,occasionally,normal,student,none,2,1308375
R00852,private_room,TTR,female,not_allowed,not_allowed,medium,medium,rarely,very_early,student,none,1,3007212
R00853,private_room,BTL,female,not_allowed,not_allowed,medium,medium,frequently,early,any,none,1,4499320
R00854,shared_room,Q5,female,not_allowed,not_allowed,medium,medium,rarely,early,student,before_11pm,3,1767837
R00855,shared_room,HD,male,not_allowed,not_allowed,high,low,frequently,very_early,student,none,4,1163152
R00856,private_room,DD,female,not_allowed,not_allowed,medium,medium,rarely,normal,any,none,1,3480246
R00857,shared_room,LB,male,not_allowed,not_allowed,medium,low,frequently,normal,student,before_midnight,3,1260790
R00858,studio,Q12,any,allowed,cats_only,high,low,occasionally,early,student,none,2,5486354
R00859,shared_room,LB,female,not_allowed,small_pets_only,high,low,rarely,very_early,student,none,2,1074667
R00860,shared_room,TTR,any,not_allowed,not_allowed,high,low,rarely,late,student,before_11pm,4,800603
R00861,shared_room,DA,female,not_allowed,allowed,medium,high,rarely,late,student,none,2,680520
R00862,shared_room,Q11,female,not_allowed,small_pets_only,medium,low,occasionally,early,student,none,4,1645144
R00863,private_room,HD,male,not_allowed,cats_only,medium,medium,occasionally,late,student,none,1,2055337
R00864,studio,DD,any,outside_only,cats_only,medium,medium,rarely,normal,student,before_11pm,1,6681040
R00865,shared_room,HD,male,not_allowed,not_allowed,high,low,rarely,early,student,before_11pm,3,1192135
R00866,private_room,TX,female,not_allowed,cats_only,low,low,occasionally,late,student,none,1,4121117
R00867,studio,BD,any,allowed,not_allowed,medium,low,rarely,normal,student,none,2,9115526
R00868,shared_room,Q8,any,not_allowed,allowed,medium,low,rarely,late,office_worker,none,2,825944
R00869,shared_room,BTL,female,outside_only,small_pets_only,medium,medium,occasionally,normal,student,before_11pm,4,1010848
R00870,private_room,BD,male,outside_only,not_allowed,high,medium,rarely,normal,student,none,1,7343393
R00871,shared_room,Q4,female,allowed,allowed,high,medium,frequently,late,student,none,4,2024320
R00872,studio,HD,any,not_allowed,allowed,medium,high,occasionally,early,student,none,2,6682159
R00873,shared_room,GV,female,not_allowed,not_allowed,medium,medium,rarely,very_early,student,none,3,1236163
R00874,shared_room,Q6,male,allowed,not_allowed,high,medium,rarely,normal,any,before_midnight,3,901062
R00875,studio,Q4,any,allowed,allowed,medium,high,occasionally,early,office_worker,before_11pm,2,8863811
R00876,private_room,HM,female,not_allowed,allowed,medium,medium,occasionally,normal,student,none,1,2663624
R00877,private_room,GV,female,outside_only,allowed,medium,medium,rarely,very_early,office_worker,before_midnight,1,2187684
R00878,shared_room,GL,male,not_allowed,not_allowed,medium,medium,rarely,early,student,before_11pm,2,1160230
R00879,shared_room,Q12,female,not_allowed,allowed,medium,low,rarely,normal,student,before_11pm,2,1037903
R00880,shared_room,HL,female,not_allowed,not_allowed,high,low,rarely,early,office_worker,none,4,845661
R00881,shared_room,PN,male,allowed,small_pets_only,high,low,rarely,normal,student,before_11pm,3,2240288
R00882,shared_room,HK,male,not_allowed,not_allowed,high,low,occasionally,normal,student,before_midnight,3,2381349
R00883,shared_room,PN,any,allowed,not_allowed,medium,medium,occasionally,normal,any,before_midnight,2,1176887
R00884,private_room,SS,any,not_allowed,cats_only,high,medium,occasionally,late,student,none,1,1259650
R00885,shared_room,DD,any,not_allowed,not_allowed,high,low,occasionally,early,student,before_midnight,2,1929252
R00886,shared_room,Q11,any,not_allowed,allowed,high,medium,occasionally,early,any,none,3,1397995
R00887,private_room,GV,female,not_allowed,not_allowed,medium,low,occasionally,normal,any,none,1,2816093
R00888,shared_room,Q3,any,not_allowed,not_allowed,high,medium,rarely,normal,office_worker,none,3,1770330
R00889,shared_room,Q10,male,not_allowed,not_allowed,high,medium,occasionally,normal,student,none,4,1104094
R00890,shared_room,LB,female,outside_only,allowed,high,high,rarely,late,student,before_midnight,4,1071394
R00891,private_room,BTL,female,allowed,allowed,medium,low,rarely,normal,student,before_11pm,1,2159877
R00892,shared_room,TX,male,not_allowed,cats_only,medium,medium,rarely,normal,student,none,3,1723219
R00893,studio,Q8,any,not_allowed,not_allowed,medium,medium,rarely,normal,any,before_midnight,1,4430623
R00894,private_room,NB,female,allowed,not_allowed,medium,low,frequently,normal,office_worker,none,1,3293300
R00895,studio,CC,any,not_allowed,allowed,medium,low,frequently,normal,student,none,2,4498609
R00896,shared_room,Q11,male,not_allowed,not_allowed,high,low,rarely,late,student,none,4,1028109
R00897,shared_room,HM,male,not_allowed,cats_only,high,low,occasionally,normal,student,none,3,1248305
R00898,shared_room,LB,any,outside_only,cats_only,medium,medium,occasionally,early,any,before_midnight,4,1292042
R00899,shared_room,BT,female,not_allowed,not_allowed,medium,medium,occasionally,early,student,none,3,1927641
R00900,studio,TP,any,not_allowed,allowed,medium,low,rarely,very_early,student,none,1,4027643
R00901,shared_room,CG,male,allowed,not_allowed,medium,low,occasionally,very_early,student,none,4,1079815
R00902,private_room,Q10,female,not_allowed,small_pets_only,medium,low,frequently,normal,student,before_11pm,1,6782205
R00903,shared_room,DA,female,not_allowed,not_allowed,high,low,rarely,late,office_worker,none,3,770365
R00904,private_room,DD,male,not_allowed,cats_only,medium,medium,rarely,late,any,before_midnight,1,3531207
R00905,private_room,NB,any,allowed,allowed,medium,medium,rarely,normal,any,before_midnight,1,2415345
R00906,private_room,Q4,female,not_allowed,cats_only,medium,low,frequently,early,student,before_11pm,1,3966865
R00907,shared_room,NTL,any,not_allowed,allowed,high,medium,occasionally,very_early,student,none,3,1158673
R00908,shared_room,Q6,any,not_allowed,not_allowed,medium,high,rarely,late,any,none,2,951779
R00909,studio,HL,any,allowed,not_allowed,medium,medium,rarely,early,student,none,2,3121908
R00910,private_room,SS,female,not_allowed,not_allowed,medium,low,rarely,normal,any,none,1,1299160
R00911,studio,GL,any,not_allowed,small_pets_only,medium,medium,frequently,normal,student,none,2,2397031
R00912,shared_room,HK,male,outside_only,small_pets_only,high,low,rarely,early,office_worker,none,2,3180644
R00913,private_room,PN,male,allowed,small_pets_only,high,high,occasionally,normal,student,none,1,7210045
R00914,shared_room,TX,female,not_allowed,small_pets_only,high,high,rarely,early,student,before_midnight,3,1086701
R00915,shared_room,Q11,any,not_allowed,allowed,medium,low,occasionally,early,student,before_11pm,3,825553
R00916,shared_room,DA,female,not_allowed,not_allowed,high,low,rarely,early,student,none,3,793189
R00917,shared_room,Q10,female,not_allowed,cats_only,high,medium,rarely,late,student,before_11pm,3,1492427
R00918,studio,Q1,any,not_allowed,not_allowed,medium,medium,occasionally,very_early,student,before_11pm,1,7920072
R00919,shared_room,Q6,male,not_allowed,allowed,medium,low,rarely,normal,student,none,4,1648462
R00920,studio,Q5,any,outside_only,not_allowed,medium,medium,frequently,normal,student,none,1,4525619
R00921,private_room,Q8,female,not_allowed,allowed,high,medium,occasionally,normal,any,before_11pm,1,5596258
R00922,shared_room,Q4,female,not_allowed,not_allowed,high,medium,rarely,normal,student,none,2,1225775
R00923,shared_room,BC,female,not_allowed,not_allowed,high,low,rarely,very_late,student,none,3,955955
R00924,studio,TP,any,not_allowed,cats_only,medium,low,occasionally,normal,student,none,1,4369080
R00925,shared_room,TX,male,not_allowed,small_pets_only,medium,low,rarely,late,student,before_11pm,2,1196477
R00926,shared_room,BD,male,not_allowed,not_allowed,medium,low,rarely,early,student,none,2,2473006
R00927,studio,NB,any,outside_only,allowed,high,low,occasionally,normal,student,none,1,2622728
R00928,private_room,HL,female,not_allowed,allowed,medium,low,occasionally,late,student,before_midnight,1,2704908
R00929,shared_room,CC,male,not_allowed,not_allowed,high,low,rarely,early,student,none,3,847227
R00930,studio,LB,any,not_allowed,not_allowed,medium,low,occasionally,normal,student,before_11pm,2,5803034
R00931,private_room,BD,female,not_allowed,not_allowed,high,high,occasionally,normal,student,before_midnight,1,5055672
R00932,shared_room,GL,male,not_allowed,small_pets_only,medium,low,occasionally,normal,student,none,3,1016002
R00933,shared_room,Q8,female,not_allowed,small_pets_only,high,low,rarely,late,any,before_midnight,4,1370199
R00934,private_room,Q3,male,not_allowed,not_allowed,high,low,rarely,late,office_worker,before_11pm,1,4230274
R00935,private_room,BC,male,not_allowed,small_pets_only,low,high,occasionally,early,student,none,1,2694414
R00936,shared_room,BT,female,not_allowed,allowed,high,medium,rarely,late,student,none,4,1963427
R00937,private_room,HBT,male,not_allowed,small_pets_only,medium,medium,frequently,early,student,before_11pm,1,3010932
R00938,shared_room,GV,female,outside_only,not_allowed,high,medium,occasionally,late,office_worker,before_11pm,2,963216
R00939,shared_room,DA,male,not_allowed,small_pets_only,high,medium,occasionally,early,student,before_11pm,2,798094
R00940,shared_room,LB,any,outside_only,not_allowed,medium,low,rarely,very_early,student,before_11pm,4,947157
R00941,private_room,BD,female,allowed,not_allowed,low,medium,occasionally,early,student,before_midnight,1,8727866
R00942,private_room,BT,male,not_allowed,cats_only,medium,medium,occasionally,normal,office_worker,before_midnight,1,2287843
R00943,shared_room,CC,female,not_allowed,not_allowed,high,high,rarely,early,student,none,3,814359
R00944,private_room,TTR,male,not_allowed,not_allowed,medium,low,rarely,normal,student,before_midnight,1,4118239
R00945,private_room,BT,male,allowed,small_pets_only,high,medium,rarely,early,any,none,1,4476800
R00946,private_room,PN,male,allowed,not_allowed,low,medium,rarely,late,office_worker,none,1,7446849
R00947,private_room,Q11,female,not_allowed,cats_only,high,medium,occasionally,early,any,none,1,6115158
R00948,studio,TB,any,not_allowed,not_allowed,medium,low,frequently,late,student,before_midnight,1,3774013
R00949,private_room,TP,male,allowed,not_allowed,medium,medium,rarely,early,student,none,1,5514434
R00950,shared_room,BD,female,not_allowed,small_pets_only,high,medium,rarely,normal,any,none,4,2750080
R00951,studio,LB,any,not_allowed,cats_only,medium,medium,occasionally,late,student,before_11pm,2,5879274
R00952,private_room,BC,male,not_allowed,not_allowed,high,medium,occasionally,normal,any,before_11pm,1,3713975
R00953,shared_room,CG,female,not_allowed,allowed,high,low,frequently,normal,office_worker,before_midnight,4,1173123
R00954,private_room,HD,male,allowed,allowed,high,high,occasionally,early,student,before_11pm,1,2000841
R00955,studio,Q4,any,not_allowed,not_allowed,high,low,occasionally,late,student,before_11pm,1,7599527
R00956,private_room,GV,female,not_allowed,not_allowed,low,low,rarely,early,student,before_midnight,1,3345925
R00957,shared_room,HD,female,not_allowed,not_allowed,high,low,occasionally,early,office_worker,none,4,644005
R00958,shared_room,Q11,any,not_allowed,not_allowed,high,low,rarely,early,student,before_midnight,3,1745881
R00959,shared_room,Q7,female,not_allowed,not_allowed,high,medium,rarely,early,student,before_11pm,4,1956233
R00960,private_room,Q10,male,allowed,cats_only,high,medium,frequently,normal,student,none,1,5074775
R00961,shared_room,TTR,any,not_allowed,allowed,high,medium,rarely,very_early,office_worker,before_11pm,3,860552
R00962,shared_room,PN,male,not_allowed,not_allowed,high,low,rarely,normal,any,before_11pm,2,1600353
R00963,private_room,Q4,male,not_allowed,not_allowed,medium,medium,occasionally,normal,student,none,1,5273682
R00964,studio,TX,any,outside_only,not_allowed,high,low,rarely,early,student,before_midnight,2,5715774
R00965,shared_room,HK,male,not_allowed,cats_only,medium,low,rarely,very_early,any,before_midnight,4,2549872
R00966,shared_room,BD,any,not_allowed,not_allowed,high,low,rarely,very_early,any,none,4,2753670
R00967,private_room,HL,female,not_allowed,not_allowed,medium,low,occasionally,early,office_worker,none,1,5768980
R00968,private_room,TTR,female,allowed,small_pets_only,medium,medium,frequently,normal,student,before_midnight,1,2369996
R00969,shared_room,TP,any,not_allowed,not_allowed,high,low,rarely,normal,any,before_11pm,2,754939
R00970,private_room,Q7,female,allowed,not_allowed,high,high,frequently,normal,student,before_11pm,1,9109916
R00971,private_room,Q3,female,allowed,not_allowed,medium,low,rarely,early,student,none,1,8084154
R00972,private_room,Q6,female,not_allowed,allowed,medium,medium,rarely,normal,any,before_midnight,1,2448353
R00973,studio,GV,any,not_allowed,not_allowed,low,low,frequently,normal,student,none,1,5609839
R00974,shared_room,BD,male,outside_only,not_allowed,medium,low,occasionally,normal,student,before_11pm,3,2271099
R00975,shared_room,HK,female,allowed,allowed,medium,low,occasionally,early,student,before_midnight,4,2207132
R00976,private_room,HK,male,allowed,allowed,medium,medium,occasionally,normal,student,before_11pm,1,8631009
R00977,shared_room,Q4,female,not_allowed,not_allowed,medium,low,rarely,very_early,office_worker,none,3,1709395
R00978,shared_room,CC,female,outside_only,not_allowed,high,medium,rarely,very_early,student,none,3,732196
R00979,private_room,GL,female,not_allowed,small_pets_only,medium,medium,occasionally,early,student,none,1,3538135
R00980,studio,CG,any,outside_only,not_allowed,medium,medium,frequently,very_early,student,before_midnight,1,8542134
R00981,shared_room,CG,any,not_allowed,small_pets_only,medium,medium,occasionally,normal,student,before_midnight,2,1024618
R00982,private_room,CC,male,not_allowed,not_allowed,high,medium,frequently,normal,student,none,1,1780413
R00983,shared_room,BD,any,not_allowed,not_allowed,high,low,rarely,normal,office_worker,before_11pm,2,2830277
R00984,private_room,Q7,male,not_allowed,not_allowed,medium,low,rarely,normal,student,none,1,3892763
R00985,studio,GV,any,allowed,not_allowed,medium,low,frequently,early,student,before_11pm,1,3663979
R00986,shared_room,NB,female,outside_only,not_allowed,high,high,rarely,normal,student,before_midnight,2,811736
R00987,shared_room,Q7,female,not_allowed,not_allowed,medium,medium,occasionally,normal,student,none,3,1540313
R00988,shared_room,BD,male,not_allowed,not_allowed,high,medium,rarely,normal,office_worker,none,4,2586219
R00989,studio,HBT,any,allowed,not_allowed,medium,low,occasionally,early,student,none,2,5123298
R00990,shared_room,DD,male,not_allowed,not_allowed,high,high,rarely,normal,student,before_midnight,2,1617825
R00991,private_room,Q11,male,outside_only,small_pets_only,medium,high,occasionally,normal,any,none,1,5964042
R00992,studio,HL,any,allowed,not_allowed,medium,low,frequently,late,any,none,2,3568457
R00993,private_room,Q6,female,allowed,allowed,high,medium,rarely,normal,student,before_11pm,1,3113337
R00994,studio,Q8,any,outside_only,allowed,medium,low,rarely,late,office_worker,before_midnight,2,4269185
R00995,private_room,DA,female,outside_only,not_allowed,medium,high,frequently,very_late,student,before_midnight,1,2923959
R00996,private_room,HD,male,not_allowed,not_allowed,medium,medium,rarely,very_early,office_worker,before_midnight,1,4758650
R00997,shared_room,HL,female,not_allowed,allowed,high,medium,rarely,late,office_worker,none,4,1029349
R00998,studio,Q11,any,outside_only,small_pets_only,low,low,occasionally,early,student,none,1,4752401
R00999,shared_room,GV,any,not_allowed,not_allowed,medium,low,rarely,early,student,before_midnight,2,1138828
R01000,shared_room,Q4,female,not_allowed,not_allowed,medium,high,occasionally,early,student,none,2,1385767
R01001,shared_room,Q10,female,not_allowed,not_allowed,high,low,occasionally,late,student,before_midnight,4,1516926
R01002,private_room,CG,male,not_allowed,not_allowed,medium,low,rarely,normal,student,before_11pm,1,2375476
R01003,shared_room,HL,any,not_allowed,small_pets_only,high,low,rarely,late,student,before_midnight,2,1331320
R01004,private_room,HBT,female,not_allowed,small_pets_only,high,low,rarely,early,student,before_11pm,1,3589068
R01005,private_room,TB,male,not_allowed,not_allowed,medium,low,rarely,very_early,any,before_11pm,1,5493944
R01006,studio,Q1,any,allowed,not_allowed,high,medium,occasionally,normal,student,none,2,6016870
R01007,private_room,Q10,female,not_allowed,not_allowed,medium,medium,frequently,very_late,student,before_11pm,1,7517312
R01008,shared_room,BD,any,not_allowed,not_allowed,high,medium,occasionally,early,student,none,3,1806903
R01009,private_room,Q12,female,not_allowed,small_pets_only,medium,low,occasionally,normal,student,none,1,1673585
R01010,private_room,Q6,any,allowed,not_allowed,medium,low,rarely,normal,student,before_midnight,1,5674318
R01011,shared_room,Q11,female,outside_only,small_pets_only,high,low,rarely,late,student,none,2,1748241
R01012,shared_room,Q11,female,not_allowed,not_allowed,medium,medium,rarely,very_early,student,none,2,850410
R01013,shared_room,TD,female,not_allowed,allowed,high,low,rarely,normal,student,before_midnight,3,1301529
R01014,shared_room,Q11,any,not_allowed,not_allowed,high,medium,rarely,very_late,student,none,3,1121188
R01015,shared_room,DD,female,not_allowed,allowed,medium,low,occasionally,normal,student,before_11pm,4,2212080
R01016,studio,Q10,any,allowed,small_pets_only,medium,low,occasionally,early,student,before_11pm,1,8521094
R01017,studio,Q10,any,allowed,allowed,medium,medium,frequently,early,office_worker,before_11pm,2,5855192
R01018,shared_room,CC,female,outside_only,small_pets_only,high,medium,rarely,late,student,none,4,463258
R01019,studio,PN,any,allowed,not_allowed,medium,high,occasionally,late,student,none,1,5968510
R01020,studio,TP,any,allowed,not_allowed,low,low,occasionally,early,office_worker,before_midnight,2,7494372
R01021,shared_room,HK,female,outside_only,not_allowed,medium,low,rarely,late,student,before_11pm,2,1558825
R01022,studio,SS,any,allowed,not_allowed,low,medium,occasionally,early,student,none,2,2200983
R01023,shared_room,Q8,male,allowed,small_pets_only,high,high,rarely,normal,student,none,2,681227
R01024,shared_room,DA,female,not_allowed,not_allowed,medium,high,occasionally,early,any,before_midnight,3,563149
R01025,private_room,HL,any,not_allowed,not_allowed,medium,high,occasionally,normal,student,before_midnight,1,2294900
R01026,private_room,DA,any,outside_only,small_pets_only,medium,medium,occasionally,early,student,before_11pm,1,2411098
R01027,shared_room,Q10,male,not_allowed,not_allowed,high,high,occasionally,very_late,any,before_midnight,4,1270911
R01028,studio,TX,any,outside_only,not_allowed,medium,medium,frequently,very_late,student,none,2,6647123
R01029,private_room,Q1,female,not_allowed,small_pets_only,medium,high,frequently,early,student,before_midnight,1,11431563
R01030,private_room,PN,female,allowed,not_allowed,high,high,rarely,normal,office_worker,none,1,2930856
R01031,private_room,TP,female,not_allowed,not_allowed,medium,low,rarely,normal,student,none,1,3411664
R01032,private_room,HK,female,not_allowed,small_pets_only,low,medium,rarely,normal,student,none,1,5591479
R01033,studio,Q12,any,outside_only,not_allowed,medium,medium,occasionally,normal,office_worker,none,1,6238381
R01034,shared_room,Q10,any,not_allowed,not_allowed,high,low,occasionally,normal,student,none,4,1518613
R01035,private_room,NTL,male,not_allowed,allowed,high,low,occasionally,normal,office_worker,none,1,4975749
